1,0,192028446
313,1,3086355316
349,1,3150644132
700,1,4061080958
703,1,4074099466
706,1,4075536257
911,1,4475211487
914,1,4478560708
967,914,4509751579
915,1,4479278030
917,1,4481222668
924,1,4486207588
930,1,4488375779
936,1,4490341436
939,1,4491509850
941,1,4492600109
946,1,4495082158
948,1,4497171011
950,1,4498256244
951,1,4499475087
952,1,4501456576
953,1,4502385431
954,1,4503322092
955,1,4504078449
1024,1,4539109752
1036,1,4568018171
938,1,4491404357
1110,1,4629584321
1119,1,4636827947
1147,1,4683932381
1150,1,4686453618
1192,1150,4767162615
1295,1192,5038926706
1297,1295,5042326836
1547,1295,8209003711
1151,1,4691415716
1190,1,4754741307
1217,1,4850638384
1226,1217,4856270453
1251,1217,4967566883
1252,1217,4988156232
1253,1217,4988829916
1283,1217,5015206426
1290,1217,5032946064
1936,1290,9434638549
1299,1217,5045773105
1313,1217,5156404650
1318,1217,5215725161
1323,1217,5249677628
1327,1217,5254341962
1340,1217,5331173483
1347,1217,5346233709
1352,1217,5357268942
1356,1217,5365420797
1487,1217,7554476052
1490,1217,7559332627
1645,1217,8367487232
1651,1645,8371946296
1658,1217,8431684410
1670,1217,8443781092
2137,1670,9669772462
2147,1670,9680707674
3744,1670,69995599522
1691,1217,8489924948
4308,1691,258142146487
4393,4308,260374027714
6895,4393,473217554472
4394,4308,260445910652
4396,4394,260611451571
4564,4396,269007924525
4631,4396,270667872125
4645,4396,274228118814
4658,4396,274303894955
4716,4396,275318996998
4747,4396,276057169081
5114,4396,298532288290
5133,4396,299501733594
49008,4396,6138656238209
51158,4396,7457121155821
69878,4396,8803872455284
69935,4396,8818191775633
70001,4396,8821095586368
70042,4396,8823727766507
72435,4396,9672528740266
72464,4396,9683664947978
74074,4396,10509773869324
74216,4396,10574223891677
74404,4396,10739393127700
74569,4396,10845602454410
74589,4396,10849440920224
75877,4396,12723129617242
76018,4396,12865749765798
76127,4396,12938507770748
76241,4396,13026566842721
76265,4396,13027307178807
76682,4396,13413237149466
77037,4396,13837540489813
77060,4396,13840521016003
84288,4396,19736246831938
84396,4396,19774374623208
85561,4396,20511807756414
85583,4396,20514659383125
80217,1691,16622231537859
80317,1691,16710368748283
80322,80317,16710403252601
80357,80322,16710570728745
80363,80357,16710639624753
80323,80317,16710404157974
80325,80323,16710422945217
80665,80317,16712020689800
80966,80665,16714267547156
85392,1691,20377934686596
1880,1217,9184649472
1899,1217,9245284274
1847,1217,9160755408
1911,1217,9305590147
1913,1217,9307151412
1963,1217,9501189638
1971,1217,9532714232
1981,1217,9540787053
1977,1217,9535062265
2064,1217,9611161203
2068,2064,9612645287
2136,2068,9669723671
2148,2068,9683733472
2335,2068,10136312889
2066,1217,9611919755
2069,1217,9612871029
2071,1217,9613863056
2073,1217,9615034599
2075,1217,9616153248
2078,1217,9617403406
2079,1217,9618355598
2080,1217,9619435873
2081,1217,9620192813
2082,1217,9620907018
2083,1217,9621707440
2084,1217,9622561746
2085,1217,9623612391
2086,1217,9624699379
2087,1217,9625836108
2161,1217,9696528553
2220,1217,9781571446
2205,1217,9757320119
2273,1217,9966654555
2312,1217,10044301722
2333,1217,10113784220
2445,1217,10326896515
2758,1217,12033335494
4577,1217,269308569091
70156,1217,8961234568602
87979,70156,23266583382095
88904,87979,24117284187959
88911,88904,24117391569696
88913,88911,24121235276242
88914,88913,24121235574698
88915,88914,24121235949054
88916,88915,24121237833912
88917,88916,24121247446272
88918,88917,24121247823568
80339,1217,16710509264105
85753,1217,20622287596477
1255,1,4990282981
1259,1,5003738109
1361,1,5396883250
1929,1,9400647706
2518,1,11148489528
2519,1,11149525244
2526,1,11159696136
2529,1,11163842307
